CODE,day,t,dn,dc,cc,BS,DP,DN,SS,SB
CODE_1.SZ,20241230,9:30:00:090,612607,0,0,B,4.61,200,308254,612606
CODE_1.SZ,20241230,9:30:00:100,622811,0,0,S,4.6,100,622810,414684
CODE_1.SZ,20241230,9:30:00:100,623299,C,0, ,0,600,0,23590
CODE_1.SZ,20241230,9:30:00:110,628125,0,0,S,4.6,300,628124,414684
CODE_1.SZ,20241230,9:30:00:160,655009,C,0, ,0,18600,655008,0
CODE_1.SZ,20241230,9:30:00:160,656094,0,0,S,4.6,100,656093,414684
CODE_1.SZ,20241230,9:30:00:160,656714,0,0,S,4.6,100,656713,414684
CODE_1.SZ,20241230,9:30:00:190,666977,0,0,B,4.61,2600,308254,666976
CODE_1.SZ,20241230,9:30:00:200,674468,C,0, ,0,2000,0,341910
CODE_1.SZ,20241230,9:30:00:240,687807,0,0,B,4.61,5000,308254,687806
CODE_1.SZ,20241230,9:30:00:310,707910,0,0,S,4.6,300,707909,414684
CODE_1.SZ,20241230,9:30:00:310,709387,0,0,S,4.6,2000,709386,414684
CODE_1.SZ,20241230,9:30:00:370,721573,0,0,S,4.6,3000,721572,414684
CODE_1.SZ,20241230,9:30:00:400,726925,0,0,B,4.61,2000,308254,726924
CODE_1.SZ,20241230,9:30:00:460,736077,0,0,S,4.6,3400,736076,414684
CODE_1.SZ,20241230,9:30:00:460,736078,0,0,S,4.6,1500,736076,417079
CODE_1.SZ,20241230,9:30:00:460,736079,0,0,S,4.6,600,736076,433773
CODE_1.SZ,20241230,9:30:00:480,738346,0,0,S,4.6,400,738345,433773
CODE_1.SZ,20241230,9:30:00:480,738347,0,0,S,4.6,200,738345,437431
CODE_1.SZ,20241230,9:30:00:480,738348,0,0,S,4.6,1400,738345,440890
CODE_1.SZ,20241230,9:30:00:660,767174,0,0,B,4.61,1000,308254,767173
CODE_1.SZ,20241230,9:30:00:670,771140,0,0,B,4.61,900,308254,771139
CODE_1.SZ,20241230,9:30:00:670,771170,0,0,S,4.6,100,771169,440890
CODE_1.SZ,20241230,9:30:00:680,771688,0,0,B,4.61,3000,308254,771687
CODE_1.SZ,20241230,9:30:00:680,771730,0,0,B,4.61,1700,308254,771729
CODE_1.SZ,20241230,9:30:00:690,773488,0,0,S,4.6,100,773487,440890
CODE_1.SZ,20241230,9:30:00:770,787049,C,0, ,0,200,165781,0
